task_id,comparator,comparator_minus_portfolio_m
1,MultiStart2opt,0.0
2,MultiStart2opt,0.0
3,MultiStart2opt,0.0
4,MultiStart2opt,-0.009049596692456419
5,MultiStart2opt,0.0
6,MultiStart2opt,0.0
7,MultiStart2opt,0.2969223503135332
8,MultiStart2opt,-0.19147881699499436
9,MultiStart2opt,1.4298033217126083
10,MultiStart2opt,-1.4616304105992128
11,MultiStart2opt,-8.357477066032182
12,MultiStart2opt,0.0
13,MultiStart2opt,-1.8714459742388279
14,MultiStart2opt,0.0
15,MultiStart2opt,0.0
16,MultiStart2opt,0.9920812325625583
17,MultiStart2opt,0.0
18,MultiStart2opt,0.0
19,MultiStart2opt,0.0
20,MultiStart2opt,0.0
21,MultiStart2opt,0.0
22,MultiStart2opt,0.0
23,MultiStart2opt,0.0
24,MultiStart2opt,0.0
25,MultiStart2opt,0.0
26,MultiStart2opt,0.0
27,MultiStart2opt,0.0
28,MultiStart2opt,0.0
29,MultiStart2opt,0.0
30,MultiStart2opt,-2.3453155127517444
1,ILS,0.0
2,ILS,0.0
3,ILS,0.0
4,ILS,-0.009049596692456419
5,ILS,0.0
6,ILS,0.0
7,ILS,0.0
8,ILS,-0.19147881699499436
9,ILS,28.59606643425172
10,ILS,-1.4616304105992128
11,ILS,-8.357477066032182
12,ILS,0.0
13,ILS,-1.8714459742388279
14,ILS,0.0
15,ILS,0.7549845061469718
16,ILS,-0.5787410946722638
17,ILS,0.0
18,ILS,0.0
19,ILS,0.0
20,ILS,0.0
21,ILS,0.0
22,ILS,0.0
23,ILS,0.0
24,ILS,0.0
25,ILS,0.0
26,ILS,0.0
27,ILS,0.0
28,ILS,0.0
29,ILS,0.0
30,ILS,-2.3453155127517444
1,ACO×3,0.0
2,ACO×3,0.0
3,ACO×3,0.0
4,ACO×3,-0.009049596692456419
5,ACO×3,0.0
6,ACO×3,0.0
7,ACO×3,0.0
8,ACO×3,-0.19147881699499436
9,ACO×3,0.0
10,ACO×3,-1.4616304105992128
11,ACO×3,11.795166315176964
12,ACO×3,2.9875520932840516
13,ACO×3,-1.8714459742388279
14,ACO×3,0.0
15,ACO×3,0.0
16,ACO×3,0.0156469137451154
17,ACO×3,0.0
18,ACO×3,0.0
19,ACO×3,0.0
20,ACO×3,0.0
21,ACO×3,0.0
22,ACO×3,0.0
23,ACO×3,0.0
24,ACO×3,0.0
25,ACO×3,0.0
26,ACO×3,0.0
27,ACO×3,0.0
28,ACO×3,0.00047554820525874675
29,ACO×3,4.478503945689827
30,ACO×3,0.24777279961640808
1,MultiStart2opt-RT,0.0
2,MultiStart2opt-RT,0.0
3,MultiStart2opt-RT,0.0
4,MultiStart2opt-RT,-0.009049596692456419
5,MultiStart2opt-RT,0.0
6,MultiStart2opt-RT,0.0
7,MultiStart2opt-RT,0.0
8,MultiStart2opt-RT,-0.19147881699499436
9,MultiStart2opt-RT,0.0
10,MultiStart2opt-RT,-1.4616304105992128
11,MultiStart2opt-RT,-8.357477066032182
12,MultiStart2opt-RT,0.0
13,MultiStart2opt-RT,-1.8714459742388279
14,MultiStart2opt-RT,0.0
15,MultiStart2opt-RT,0.0
16,MultiStart2opt-RT,-0.5787410946722638
17,MultiStart2opt-RT,0.0
18,MultiStart2opt-RT,0.0
19,MultiStart2opt-RT,0.0
20,MultiStart2opt-RT,0.0
21,MultiStart2opt-RT,0.0
22,MultiStart2opt-RT,0.0
23,MultiStart2opt-RT,0.0
24,MultiStart2opt-RT,0.0
25,MultiStart2opt-RT,0.0
26,MultiStart2opt-RT,0.0
27,MultiStart2opt-RT,0.0
28,MultiStart2opt-RT,0.0
29,MultiStart2opt-RT,0.0
30,MultiStart2opt-RT,-2.3453155127517444
