task_id,method,gap_pct,reference_km,length_km
1,ACO×3,0.0,1.7739991125114167,1.7739991125114165
1,NN+2opt,0.0,1.7739991125114167,1.7739991125114165
1,Portfolio,0.0,1.7739991125114167,1.7739991125114165
2,ACO×3,0.0,2.279975082456949,2.279975082456949
2,NN+2opt,0.0,2.279975082456949,2.279975082456949
2,Portfolio,0.0,2.279975082456949,2.279975082456949
3,ACO×3,0.0,2.5554615909469742,2.5554615909469742
3,NN+2opt,0.0,2.5554615909469742,2.5554615909469742
3,Portfolio,0.0,2.5554615909469742,2.5554615909469742
4,ACO×3,0.0,2.1335996845890683,2.1335996845890683
4,NN+2opt,0.2315453112001147,2.1335996845890683,2.1385399346185148
4,Portfolio,0.0,2.1335996845890683,2.133608734185761
5,ACO×3,0.0,1.865074221023855,1.865074221023855
5,NN+2opt,0.0,1.865074221023855,1.865074221023855
5,Portfolio,0.0,1.865074221023855,1.865074221023855
6,ACO×3,0.0,1.756456461232624,1.756456461232624
6,NN+2opt,0.0,1.756456461232624,1.756456461232624
6,Portfolio,0.0,1.756456461232624,1.756456461232624
7,ACO×3,0.0,1.8418822070973,1.8418822070973
7,NN+2opt,0.3224118775562006,1.8418822070973,1.847820654103576
7,Portfolio,0.0,1.8418822070973,1.8418822070973
8,ACO×3,0.0,2.4314289960780373,2.4314289960780373
8,NN+2opt,4.331765406945407,2.4314289960780373,2.5367527962245857
8,Portfolio,0.0078751556102956,2.4314289960780373,2.4316204748950323
9,ACO×3,0.0,2.412200655412025,2.412200655412025
9,NN+2opt,2.411812844884197,2.412200655412025,2.470378420663633
9,Portfolio,0.0,2.412200655412025,2.412200655412025
10,ACO×3,0.0,2.284792664659961,2.284792664659961
10,NN+2opt,3.6328948072979306,2.284792664659961,2.3677967787319165
10,Portfolio,0.0639721246136046,2.284792664659961,2.28625429507056
11,ACO×3,0.7496796464433956,2.6881673361169907,2.7083199794982
11,NN+2opt,3.5063950993123063,2.6881673361169907,2.782425103851911
11,Portfolio,0.3108986912289622,2.6881673361169907,2.696524813183023
12,ACO×3,0.2095022771339754,1.4260236853528467,1.4290112374461308
12,NN+2opt,0.0,1.4260236853528467,1.4260236853528467
12,Portfolio,0.0,1.4260236853528467,1.4260236853528467
13,ACO×3,0.0,2.026911186852802,2.026911186852802
13,NN+2opt,2.623125472564737,2.026911186852802,2.080079610501402
13,Portfolio,0.0923299445174326,2.026911186852802,2.0287826328270406
14,ACO×3,0.0,1.067134550587395,1.067134550587395
14,NN+2opt,0.0,1.067134550587395,1.067134550587395
14,Portfolio,0.0,1.067134550587395,1.067134550587395
15,ACO×3,0.0,2.112602871122433,2.112602871122433
15,NN+2opt,0.3573717126236695,2.112602871122433,2.1201527161839
15,Portfolio,0.0,2.112602871122433,2.112602871122433
16,ACO×3,0.0275225440506818,2.159640501700675,2.160234889709092
16,NN+2opt,0.5372890961091747,2.159640501700675,2.17124401463147
16,Portfolio,0.0267980293116616,2.159640501700675,2.160219242795347
17,ACO×3,0.0,2.0100547196305705,2.0100547196305705
17,NN+2opt,0.0,2.0100547196305705,2.0100547196305705
17,Portfolio,0.0,2.0100547196305705,2.0100547196305705
18,ACO×3,0.0,2.7052757751641314,2.7052757751641314
18,NN+2opt,2.0646854199958184,2.7052757751641314,2.761131209664624
18,Portfolio,0.0,2.7052757751641314,2.7052757751641314
19,ACO×3,0.0,1.908463713665149,1.908463713665149
19,NN+2opt,0.0,1.908463713665149,1.908463713665149
19,Portfolio,0.0,1.908463713665149,1.908463713665149
20,ACO×3,0.0,2.169746843952334,2.169746843952334
20,NN+2opt,1.0214268735206442,2.169746843952334,2.1919092213038294
20,Portfolio,0.0,2.169746843952334,2.169746843952334
21,ACO×3,0.0,2.207342884706021,2.207342884706021
21,NN+2opt,0.0,2.207342884706021,2.207342884706021
21,Portfolio,0.0,2.207342884706021,2.207342884706021
22,ACO×3,0.0,0.6495626464756483,0.6495626464756479
22,NN+2opt,0.0,0.6495626464756483,0.6495626464756479
22,Portfolio,0.0,0.6495626464756483,0.6495626464756479
23,ACO×3,0.0,2.01067302300028,2.01067302300028
23,NN+2opt,0.0,2.01067302300028,2.01067302300028
23,Portfolio,0.0,2.01067302300028,2.01067302300028
24,ACO×3,0.0,1.3508272334785485,1.3508272334785485
24,NN+2opt,0.0,1.3508272334785485,1.3508272334785485
24,Portfolio,0.0,1.3508272334785485,1.3508272334785485
25,ACO×3,0.0,1.9406169918137253,1.9406169918137253
25,NN+2opt,0.0,1.9406169918137253,1.9406169918137253
25,Portfolio,0.0,1.9406169918137253,1.9406169918137253
26,ACO×3,0.0,2.218200980928021,2.218200980928021
26,NN+2opt,0.0,2.218200980928021,2.218200980928021
26,Portfolio,0.0,2.218200980928021,2.218200980928021
27,ACO×3,0.0,1.900062151237724,1.900062151237724
27,NN+2opt,0.0,1.900062151237724,1.900062151237724
27,Portfolio,0.0,1.900062151237724,1.900062151237724
28,ACO×3,0.0,2.025980418950708,2.0259808944989133
28,NN+2opt,0.0,2.025980418950708,2.025980418950708
28,Portfolio,0.0,2.025980418950708,2.025980418950708
29,ACO×3,0.1797958219127995,2.4908832129936185,2.4953617169393083
29,NN+2opt,0.0,2.4908832129936185,2.4908832129936185
29,Portfolio,0.0,2.4908832129936185,2.4908832129936185
30,ACO×3,0.1343675740359594,1.92984678853692,1.932439876849288
30,NN+2opt,0.5668094098108298,1.92984678853692,1.940785341729279
