task_id,seed,method,sequence_position,target_index,route_length_km,crossings
8,0,Raw,0,0,4.333774246683905,4
8,0,Raw,1,1,4.333774246683905,4
8,0,Raw,2,2,4.333774246683905,4
8,0,Raw,3,3,4.333774246683905,4
8,0,Raw,4,4,4.333774246683905,4
8,0,Raw,5,5,4.333774246683905,4
8,0,Raw,6,6,4.333774246683905,4
8,0,Raw,7,7,4.333774246683905,4
8,0,Raw,8,8,4.333774246683905,4
8,0,Raw,9,9,4.333774246683905,4
8,0,Raw,10,10,4.333774246683905,4
8,0,Raw,11,11,4.333774246683905,4
8,0,Raw,12,12,4.333774246683905,4
8,0,Raw,13,13,4.333774246683905,4
8,0,Raw,14,14,4.333774246683905,4
8,0,Raw,15,15,4.333774246683905,4
8,0,Raw,16,16,4.333774246683905,4
8,0,Raw,17,17,4.333774246683905,4
8,0,Raw,18,18,4.333774246683905,4
8,0,Portfolio,0,3,2.4314289960780373,0
8,0,Portfolio,1,10,2.4314289960780373,0
8,0,Portfolio,2,7,2.4314289960780373,0
8,0,Portfolio,3,11,2.4314289960780373,0
8,0,Portfolio,4,12,2.4314289960780373,0
8,0,Portfolio,5,13,2.4314289960780373,0
8,0,Portfolio,6,15,2.4314289960780373,0
8,0,Portfolio,7,18,2.4314289960780373,0
8,0,Portfolio,8,17,2.4314289960780373,0
8,0,Portfolio,9,14,2.4314289960780373,0
8,0,Portfolio,10,16,2.4314289960780373,0
8,0,Portfolio,11,9,2.4314289960780373,0
8,0,Portfolio,12,8,2.4314289960780373,0
8,0,Portfolio,13,6,2.4314289960780373,0
8,0,Portfolio,14,5,2.4314289960780373,0
8,0,Portfolio,15,4,2.4314289960780373,0
8,0,Portfolio,16,2,2.4314289960780373,0
8,0,Portfolio,17,1,2.4314289960780373,0
8,0,Portfolio,18,0,2.4314289960780373,0
