method,n_tasks,mean_km,median_km,ci95_low_km,ci95_high_km,total_km,mean_runtime_s,mean_evaluations,improvement_vs_raw_pct
Raw,30,2.655156902405879,2.4680310538251007,2.3342313411101125,3.011435788344835,79.65470707217638,0.00021158686664417362,1.0,0.0
NearestNeighbor,30,2.166960036948526,2.196012410539918,1.9787104777941502,2.3459056564267353,65.00880110845578,0.0006480994362694135,99.33333333333333,18.386742606999626
CheapestInsertion,30,2.0978794237805887,2.1113138190999825,1.9147515222894083,2.2751566072836864,62.93638271341766,0.0012500459328293337,804.8666666666667,20.98849518536297
NN+2opt,30,2.0281936161066905,2.0530300147260547,1.859435006712271,2.1842976454319576,60.84580848320071,0.0025711878856721137,240.53333333333333,23.61304093671781
Insertion+2opt,30,2.0253808403549387,2.0264458029017547,1.8585089180437822,2.1788189213918767,60.761425210648156,0.0028528007290635968,197.93333333333334,23.718977265723563
MultiStart2opt,30,2.0112061913424673,2.0264458029017547,1.8461797374735436,2.160774869266201,60.33618574027402,0.172084667411594,14819.286666666669,24.2528308018226
ILS,30,2.0120746414405053,2.0264458029017547,1.8475815681341041,2.161798773434311,60.36223924321516,1.1157421910159369,95038.16333333334,24.22012274990857
ACO,30,2.0153525048744574,2.0326056739786176,1.8497055147303552,2.1660510543826073,60.460575146233715,4.856490247548208,7500.0,24.09667002924328
ACO×3,30,2.012123161452131,2.0264460406758573,1.8469842133619931,2.1622981199100684,60.363694843563934,14.580906791061475,22500.0,24.218295362171823
DE,30,2.068626080971745,2.035940345202844,1.9181269395076226,2.2151543889987266,62.05878242915235,0.7864585052900172,7500.0,22.090250896384674
PSO,30,2.2137147455909534,2.1389602905554104,2.0241729925251137,2.407774233656741,66.4114423677286,0.08845756109571082,7500.0,16.62584069570157
Portfolio,30,2.011590111024891,2.0273815258888743,1.8464926241027473,2.161721039420913,60.34770333074673,5.734198368308134,22741.533333333333,24.238371404636847
MultiStart2opt-RT,30,2.011096273075825,2.0264458029017547,1.8461236188892025,2.1606032611633696,60.33288819227475,5.609381810267223,505696.33,24.256970604880678
ILS-RT,30,2.0120746414405053,2.0264458029017547,1.8475815681341041,2.161798773434311,60.36223924321516,8.831926332553849,798537.72,24.22012274990857
HumanPlan,30,2.5449622906140896,2.49644579159751,2.3103008465626913,2.778067153418928,76.3488687184227,,,4.150210923201582
