task_id,held_karp_km,concorde_km,absolute_difference_km
1,1.7739991125114165,1.7739991125114167,2.220446049250313e-16
2,2.279975082456949,2.279975082456949,0.0
3,2.5554615909469742,2.5554615909469742,0.0
4,2.1335996845890683,2.1335996845890683,0.0
5,1.865074221023855,1.865074221023855,0.0
6,1.756456461232624,1.756456461232624,0.0
7,1.8418822070973,1.8418822070973,0.0
9,2.412200655412025,2.412200655412025,0.0
10,2.284792664659961,2.284792664659961,0.0
11,2.6881673361169907,2.6881673361169907,0.0
12,1.4260236853528467,1.4260236853528467,0.0
13,2.026911186852802,2.026911186852802,0.0
14,1.067134550587395,1.067134550587395,0.0
15,2.112602871122433,2.112602871122433,0.0
16,2.159640501700675,2.159640501700675,0.0
17,2.0100547196305705,2.0100547196305705,0.0
18,2.7052757751641314,2.7052757751641314,0.0
19,1.908463713665149,1.908463713665149,0.0
20,2.169746843952334,2.169746843952334,0.0
21,2.207342884706021,2.207342884706021,0.0
23,2.01067302300028,2.01067302300028,0.0
24,1.3508272334785485,1.3508272334785485,0.0
25,1.9406169918137253,1.9406169918137255,2.220446049250313e-16
26,2.218200980928021,2.218200980928021,0.0
27,1.9000621512377236,1.9000621512377236,0.0
28,2.025980418950708,2.025980418950708,0.0
30,1.9298467885369197,1.9298467885369197,0.0
