task_id,N,seed,method,route_length_km,runtime_s,search_budget,validity,route_hash,route_indices,exact_gap_pct,selected,selected_method
1,11,0,ACO,1.7739991125114165,4.39603781607002,"{""count"": 7500, ""type"": ""full-route objective evaluations""}",True,77d6d2ceec3f91ade8d6ccfd1e676d85f00ac8958dbe55508a1052d92b7241be,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",0.0,False,
1,11,0,ACO×3,1.7739991125114165,13.238105789059771,"{""count"": 22500, ""type"": ""three independent ACO streams""}",True,77d6d2ceec3f91ade8d6ccfd1e676d85f00ac8958dbe55508a1052d92b7241be,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",0.0,False,
1,11,0,CheapestInsertion,1.8864177600606795,0.0008380820509046,"{""count"": 286, ""type"": ""method-specific evaluations""}",True,d5f29ebe7178f481708af2ebafe02b73025427527297ef125d04338edfd867ca,"[4, 3, 2, 5, 6, 7, 9, 10, 8, 1, 0]",6.3370182519490585,False,
1,11,0,DE,1.792075276738653,0.7499184060143307,"{""count"": 7500, ""type"": ""full-route objective evaluations""}",True,69fa55238b26be8c73d2fd5c09c90bcdd64b473cbf1f5d4d16cf70ea87b33f1c,"[0, 1, 2, 5, 6, 7, 9, 10, 8, 4, 3]",1.0189500152368258,False,
1,11,0,HeldKarpCheck,1.7739991125114165,0.0402293369406834,"{""dynamic_programming_evaluations"": 56331, ""type"": ""Held-Karp independent exact cross-check""}",True,77d6d2ceec3f91ade8d6ccfd1e676d85f00ac8958dbe55508a1052d92b7241be,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",0.0,False,
1,11,0,ILS,1.7739991125114165,0.4132075130473822,"{""accepted_moves"": 1663, ""candidate_moves_evaluated"": 41249, ""completed_local_search_passes"": 1914, ""full_route_objective_evaluations"": 41501, ""perturbations"": 250, ""type"": ""fixed iterated local search""}",True,77d6d2ceec3f91ade8d6ccfd1e676d85f00ac8958dbe55508a1052d92b7241be,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",0.0,False,
1,11,0,ILS-RT,1.7739991125114165,2.0084130980540067,"{""accepted_moves"": 14873, ""candidate_moves_evaluated"": 320893, ""completed_local_search_passes"": 17005, ""full_route_objective_evaluations"": 323026, ""perturbations"": 2131, ""type"": ""fixed iterated local search""}",True,77d6d2ceec3f91ade8d6ccfd1e676d85f00ac8958dbe55508a1052d92b7241be,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",0.0,False,
1,11,0,Insertion+2opt,1.7920752767386523,0.0012053890386596,"{""accepted_moves"": 3, ""candidate_moves_evaluated"": 87, ""completed_local_search_passes"": 4, ""insertion_candidate_evaluations"": 286, ""type"": ""one constructive route plus local search to convergence""}",True,3e70e2793cadfc71d2c516be2f439603ac8ba79b6c3c05ac18bd0a8c2e16f2a1,"[3, 4, 8, 10, 9, 7, 6, 5, 2, 1, 0]",1.0189500152367883,False,
1,11,0,MultiStart2opt,1.7739991125114165,0.1131609230069443,"{""accepted_moves"": 277, ""candidate_moves_evaluated"": 6411, ""completed_local_search_passes"": 297, ""full_route_objective_evaluations"": 6432, ""initial_solutions"": 20, ""type"": ""fixed multi-start local search""}",True,77d6d2ceec3f91ade8d6ccfd1e676d85f00ac8958dbe55508a1052d92b7241be,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",0.0,False,
1,11,0,MultiStart2opt-RT,1.7739991125114165,1.2303961750585586,"{""accepted_moves"": 9305, ""candidate_moves_evaluated"": 212088, ""completed_local_search_passes"": 9944, ""full_route_objective_evaluations"": 212728, ""initial_solutions"": 639, ""type"": ""fixed multi-start local search""}",True,77d6d2ceec3f91ade8d6ccfd1e676d85f00ac8958dbe55508a1052d92b7241be,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",0.0,False,
