task_id,num_targets,seed,method,runtime_s,length_km,evaluations
1,11,0,Insertion+2opt,0.001998636987991631,1.7920752767386525,89
1,11,42,MultiStart2opt,0.04582678899168968,1.7739991125114165,5945
1,11,42,ILS,0.27770483295898885,1.7739991125114165,49516
1,11,42,MultiStart2opt-RT,1.1513861040584743,1.7739991125114165,216077
1,11,42,ILS-RT,1.851735188974999,1.7739991125114165,330078
2,11,0,Insertion+2opt,0.0009109899401664734,2.279975082456949,57
2,11,42,MultiStart2opt,0.03585038403980434,2.279975082456949,6559
2,11,42,ILS,0.29320844798348844,2.279975082456949,53616
2,11,42,MultiStart2opt-RT,1.233455486013554,2.279975082456949,233270
2,11,42,ILS-RT,2.4788015509257093,2.279975082456949,446649
3,16,0,Insertion+2opt,0.006402692990377545,2.5773142587776494,749
3,16,42,MultiStart2opt,0.16815704898908734,2.5554615909469742,24811
3,16,42,ILS,0.8022093010367826,2.5554615909469742,117760
3,16,42,MultiStart2opt-RT,5.15103602304589,2.5554615909469742,775720
3,16,42,ILS-RT,7.129560756031424,2.5554615909469742,1063140
4,12,0,Insertion+2opt,0.0014431159943342209,2.1335996845890683,131
4,12,42,MultiStart2opt,0.04675868107005954,2.1335996845890683,8278
4,12,42,ILS,0.33537933707702905,2.1335996845890683,58402
4,12,42,MultiStart2opt-RT,1.5411916880402714,2.1335996845890683,279100
4,12,42,ILS-RT,2.951904451008886,2.1335996845890683,499784
5,12,0,Insertion+2opt,0.0013761710142716765,1.948477249281817,117
5,12,42,MultiStart2opt,0.04146011406555772,1.865074221023855,7311
5,12,42,ILS,0.25422765605617315,1.865074221023855,43968
5,12,42,MultiStart2opt-RT,1.3704614840680733,1.865074221023855,245815
5,12,42,ILS-RT,2.280712174018845,1.865074221023855,388353
6,11,0,Insertion+2opt,0.0011055020149797201,1.7564564612326241,85
6,11,42,MultiStart2opt,0.03348648699466139,1.7564564612326241,6126
6,11,42,ILS,0.27434855909086764,1.7564564612326241,49588
6,11,42,MultiStart2opt-RT,1.124133446952328,1.7564564612326241,212284
6,11,42,ILS-RT,2.330113806994632,1.7564564612326241,424103
7,8,0,Insertion+2opt,0.0004896760219708085,1.8632534169221024,30
7,8,42,MultiStart2opt,0.01213678705971688,1.8418822070973002,2674
7,8,42,ILS,0.08712876599747688,1.8418822070973002,17553
7,8,42,MultiStart2opt-RT,0.3529445780441165,1.8418822070973002,81037
7,8,42,ILS-RT,0.7332443780032918,1.8418822070973002,148483
8,19,0,Insertion+2opt,0.00579354795627296,2.4314289960780373,496
8,19,42,MultiStart2opt,0.2687682380201295,2.4314289960780373,34662
8,19,42,ILS,1.414012145018205,2.4314289960780373,183073
8,19,42,MultiStart2opt-RT,8.627235666033812,2.4314289960780373,1136081
8,19,42,ILS-RT,12.2667407609988,2.4314289960780373,1553006
9,13,0,Insertion+2opt,0.0013917910400778055,2.4602711120029497,91
9,13,42,MultiStart2opt,0.05022589897271246,2.4122006554120246,8457
9,13,42,ILS,0.48737814801279455,2.4407967218462767,80832
9,13,42,MultiStart2opt-RT,1.950309291947633,2.4122006554120246,336700
9,13,42,ILS-RT,3.8699712520465255,2.4407967218462767,648637
10,11,0,Insertion+2opt,0.0013989870203658938,2.335488636909776,150
10,11,42,MultiStart2opt,0.03038095496594906,2.2847926646599612,5519
10,11,42,ILS,0.27074406400788575,2.2847926646599612,47937
10,11,42,MultiStart2opt-RT,1.012165036983788,2.2847926646599612,191311
10,11,42,ILS-RT,2.3384632599772885,2.2847926646599612,408505
11,11,0,Insertion+2opt,0.0009060479933395982,2.7824251038519114,57
11,11,42,MultiStart2opt,0.02820383897051215,2.6881673361169907,5145
11,11,42,ILS,0.27567995293065906,2.6881673361169907,50070
11,11,42,MultiStart2opt-RT,0.9293511110590771,2.6881673361169907,175436
11,11,42,ILS-RT,2.336586628924124,2.6881673361169907,419680
12,15,0,Insertion+2opt,0.0020363550866022706,1.4260236853528467,133
12,15,42,MultiStart2opt,0.10097377200145274,1.4260236853528467,15521
12,15,42,ILS,0.686466662096791,1.4260236853528467,105805
12,15,42,MultiStart2opt-RT,3.6364493280416355,1.4260236853528467,573009
12,15,42,ILS-RT,5.780603518011048,1.4260236853528467,878569
13,11,0,Insertion+2opt,0.0010250249179080129,2.026911186852802,77
13,11,42,MultiStart2opt,0.03345622995402664,2.026911186852802,6194
13,11,42,ILS,0.2358965720050037,2.026911186852802,42646
13,11,42,MultiStart2opt-RT,1.1870814590947703,2.026911186852802,225643
13,11,42,ILS-RT,1.970508779049851,2.026911186852802,357047
14,5,0,Insertion+2opt,0.00024404202122241259,1.067134550587395,15
14,5,42,MultiStart2opt,0.002243161085061729,1.067134550587395,511
14,5,42,ILS,0.018821430974639952,1.067134550587395,5181
14,5,42,MultiStart2opt-RT,0.06103639199864119,1.067134550587395,16363
14,5,42,ILS-RT,0.16167424991726875,1.067134550587395,43936
15,9,0,Insertion+2opt,0.0005990139907225966,2.112602871122433,38
15,9,42,MultiStart2opt,0.014356927946209908,2.112602871122433,2896
15,9,42,ILS,0.1278849260415882,2.1148327769950863,25046
15,9,42,MultiStart2opt-RT,0.47233620507176965,2.112602871122433,101474
15,9,42,ILS-RT,1.0958505379967391,2.1148327769950863,215474
16,17,0,Insertion+2opt,0.006336926948279142,2.1951842818144454,695
16,17,42,MultiStart2opt,0.1849633469246328,2.1596405017006752,25754
16,17,42,ILS,0.9264020319096744,2.159640501700675,130912
16,17,42,MultiStart2opt-RT,6.134368511033244,2.1596405017006752,879695
16,17,42,ILS-RT,7.8909687750274315,2.159640501700675,1116998
17,7,0,Insertion+2opt,0.0005095199448987842,2.0100547196305705,47
17,7,42,MultiStart2opt,0.006643140921369195,2.0100547196305705,1487
17,7,42,ILS,0.05896065500564873,2.0100547196305705,14336
17,7,42,MultiStart2opt-RT,0.22007144603412598,2.0100547196305705,53337
17,7,42,ILS-RT,0.4983404130907729,2.0100547196305705,121909
18,17,0,Insertion+2opt,0.007859391043893993,2.744422507372392,874
18,17,42,MultiStart2opt,0.20918756199534982,2.7052757751641314,29941
18,17,42,ILS,1.1227836380712688,2.7052757751641314,158880
18,17,42,MultiStart2opt-RT,7.059241114067845,2.7052757751641314,1011200
18,17,42,ILS-RT,9.114460043958388,2.7052757751641314,1303419
19,6,0,Insertion+2opt,0.0003295519854873419,1.908463713665149,25
19,6,42,MultiStart2opt,0.00356821296736598,1.908463713665149,805
19,6,42,ILS,0.030405355035327375,1.908463713665149,7815
19,6,42,MultiStart2opt-RT,0.11285658902488649,1.908463713665149,29051
19,6,42,ILS-RT,0.2545896830270067,1.908463713665149,66738
20,10,0,Insertion+2opt,0.0011554239317774773,2.1819711907716357,124
20,10,42,MultiStart2opt,0.02431630005594343,2.1697468439523346,4790
20,10,42,ILS,0.15692304400727153,2.1697468439523346,29721
20,10,42,MultiStart2opt-RT,0.7087565249530599,2.1697468439523346,145085
20,10,42,ILS-RT,1.3332074360223487,2.1697468439523346,252493
21,7,0,Insertion+2opt,0.00048246397636830807,2.2073428847060215,52
21,7,42,MultiStart2opt,0.006228607031516731,2.2073428847060215,1399
21,7,42,ILS,0.0497861240291968,2.2073428847060215,12132
21,7,42,MultiStart2opt-RT,0.2146695329574868,2.2073428847060215,52496
21,7,42,ILS-RT,0.421647371025756,2.2073428847060215,103118
22,42,0,Insertion+2opt,0.02804380189627409,0.6495626464756479,984
22,42,42,MultiStart2opt,2.1733804480172694,0.6495626464756479,152367
22,42,42,ILS,14.61949197598733,0.6495626464756479,1033217
22,42,42,MultiStart2opt-RT,84.8123809209792,0.6495626464756479,5966592
22,42,42,ILS-RT,138.8482518750243,0.6495626464756479,9786246
23,4,0,Insertion+2opt,0.00016085896641016006,2.01067302300028,8
23,4,42,MultiStart2opt,0.0012907000491395593,2.01067302300028,274
23,4,42,ILS,0.010713152005337179,2.01067302300028,3154
23,4,42,MultiStart2opt-RT,0.03182910999748856,2.01067302300028,8884
23,4,42,ILS-RT,0.08927265007514507,2.01067302300028,26781
24,4,0,Insertion+2opt,0.00013902201317250729,1.3508272334785483,8
24,4,42,MultiStart2opt,0.0011472259648144245,1.3508272334785483,254
24,4,42,ILS,0.010255092987790704,1.3508272334785483,3017
24,4,42,MultiStart2opt-RT,0.031193730072118342,1.3508272334785483,8659
24,4,42,ILS-RT,0.0863382489187643,1.3508272334785483,25712
25,6,0,Insertion+2opt,0.00031408597715198994,1.9406169918137257,30
25,6,42,MultiStart2opt,0.003410654957406223,1.9406169918137253,772
25,6,42,ILS,0.03425735991913825,1.9406169918137253,8871
25,6,42,MultiStart2opt-RT,0.13709129998460412,1.9406169918137253,35656
25,6,42,ILS-RT,0.28386313596274704,1.9406169918137253,74848
26,10,0,Insertion+2opt,0.0007377840811386704,2.2182009809280214,47
26,10,42,MultiStart2opt,0.019707158906385303,2.218200980928021,3854
26,10,42,ILS,0.1720398039324209,2.218200980928021,33045
26,10,42,MultiStart2opt-RT,0.6495461439481005,2.218200980928021,132705
26,10,42,ILS-RT,1.4617358340183273,2.218200980928021,279425
27,5,0,Insertion+2opt,0.00021332199685275555,1.9000621512377234,12
27,5,42,MultiStart2opt,0.0023647660855203867,1.9000621512377234,553
27,5,42,ILS,0.022044920013286173,1.9000621512377234,6118
27,5,42,MultiStart2opt-RT,0.07243012299295515,1.9000621512377234,19728
27,5,42,ILS-RT,0.18698682892136276,1.9000621512377234,51934
28,10,0,Insertion+2opt,0.0007276739925146103,2.025980418950708,47
28,10,42,MultiStart2opt,0.02289439004380256,2.025980418950708,4502
28,10,42,ILS,0.1826571049168706,2.025980418950708,34839
28,10,42,MultiStart2opt-RT,0.7326006380608305,2.025980418950708,149741
28,10,42,ILS-RT,1.5549355020048097,2.025980418950708,298398
29,20,0,Insertion+2opt,0.005290539003908634,2.490883212993618,392
29,20,42,MultiStart2opt,0.41921661200467497,2.4908832129936185,53425
29,20,42,ILS,2.1602862210711464,2.4908832129936185,275728
29,20,42,MultiStart2opt-RT,13.759775914950296,2.4908832129936185,1770223
29,20,42,ILS-RT,14.164731347002089,2.4908832129936185,1800590
30,12,0,Insertion+2opt,0.0022547650150954723,1.9337416810526524,278
30,12,42,MultiStart2opt,0.04973076400347054,1.9298467885369195,8847
30,12,42,ILS,0.3617205609334633,1.9298467885369193,63726
30,12,42,MultiStart2opt-RT,1.8047250600066036,1.9298467885369195,331013
30,12,42,ILS-RT,3.079186454997398,1.9298467885369193,547544
