task_id,num_targets,seed,method,runtime_s,length_km,evaluations
1,11,0,NearestNeighbor,0.00031423894688487053,1.7851835857089084,66
1,11,0,CheapestInsertion,0.00047596299555152655,1.8864177600606795,286
1,11,0,NN+2opt,0.0010311949299648404,1.7739991125114165,109
2,11,0,NearestNeighbor,0.00022283405996859074,2.5940198825611454,66
2,11,0,CheapestInsertion,0.0004602739354595542,2.279975082456949,286
2,11,0,NN+2opt,0.0012562079355120659,2.279975082456949,158
3,16,0,NearestNeighbor,0.00043602799996733665,2.624415439459998,136
3,16,0,CheapestInsertion,0.0010951849399134517,3.0063730726221536,816
3,16,0,NN+2opt,0.002108989981934428,2.5554615909469742,193
4,12,0,NearestNeighbor,0.00026010500732809305,2.2047966114947997,78
4,12,0,CheapestInsertion,0.0005573920207098126,2.1715880374208756,364
4,12,0,NN+2opt,0.0010640700347721577,2.1385399346185148,95
5,12,0,NearestNeighbor,0.0002621409948915243,2.357657723544228,78
5,12,0,CheapestInsertion,0.000560599029995501,1.9933933449249972,364
5,12,0,NN+2opt,0.0018331770552322268,1.865074221023855,244
6,11,0,NearestNeighbor,0.00022408808581531048,1.780281532237733,66
6,11,0,CheapestInsertion,0.0004581159446388483,1.8107954783805313,286
6,11,0,NN+2opt,0.0007295000832527876,1.7564564612326241,57
7,8,0,NearestNeighbor,0.00013237097300589085,1.9799551220787959,36
7,8,0,CheapestInsertion,0.00023401796352118254,1.8632534169221024,120
7,8,0,NN+2opt,0.0007036089664325118,1.8478206541035758,106
8,19,0,NearestNeighbor,0.00060677295550704,3.1720975038006007,190
8,19,0,CheapestInsertion,0.0016527710249647498,2.5092977523820537,1330
8,19,0,NN+2opt,0.007790984935127199,2.5367527962245857,888
9,13,0,NearestNeighbor,0.00030013604555279016,2.523589319395656,91
9,13,0,CheapestInsertion,0.0006768829189240932,2.587470410422966,455
9,13,0,NN+2opt,0.0014481809921562672,2.470378420663633,151
10,11,0,NearestNeighbor,0.00022322800941765308,2.436942079263676,66
10,11,0,CheapestInsertion,0.000461994088254869,2.488381709809749,286
10,11,0,NN+2opt,0.001022940967231989,2.3677967787319165,115
11,11,0,NearestNeighbor,0.0002362389350309968,3.1072031556646302,66
11,11,0,CheapestInsertion,0.0004577010404318571,2.7824251038519114,286
11,11,0,NN+2opt,0.001335815992206335,2.782425103851911,176
12,15,0,NearestNeighbor,0.00038862600922584534,1.7725267319089468,120
12,15,0,CheapestInsertion,0.000928267021663487,1.428135312838,680
12,15,0,NN+2opt,0.002173710963688791,1.4260236853528467,226
13,11,0,NearestNeighbor,0.00022070598788559437,2.080079610501402,66
13,11,0,CheapestInsertion,0.0004548229044303298,2.1100247670775323,286
13,11,0,NN+2opt,0.0007205820875242352,2.080079610501402,56
14,5,0,NearestNeighbor,6.575800944119692e-05,1.0951009983883422,15
14,5,0,CheapestInsertion,9.783997666090727e-05,1.0951009983883424,35
14,5,0,NN+2opt,0.00018751306924968958,1.067134550587395,18
15,9,0,NearestNeighbor,0.00015964696649461985,2.20870257823344,45
15,9,0,CheapestInsertion,0.0002920409897342324,2.112602871122433,165
15,9,0,NN+2opt,0.0009897479321807623,2.1201527161838998,142
16,17,0,NearestNeighbor,0.00048649904783815145,2.3146727467173256,153
16,17,0,CheapestInsertion,0.001256871037185192,2.2570766590637583,969
16,17,0,NN+2opt,0.007964682998135686,2.17124401463147,1017
17,7,0,NearestNeighbor,0.0001081409864127636,2.0100547196305705,28
17,7,0,CheapestInsertion,0.00017895805649459362,2.185867979443395,84
17,7,0,NN+2opt,0.0002888079034164548,2.0100547196305705,22
18,17,0,NearestNeighbor,0.00048694596625864506,3.011457479037936,153
18,17,0,CheapestInsertion,0.0012770110042765737,3.1435140305922897,969
18,17,0,NN+2opt,0.00921729498077184,2.761131209664624,1206
19,6,0,NearestNeighbor,8.460006210952997e-05,1.9609034837980999,21
19,6,0,CheapestInsertion,0.00013284990563988686,1.9505339477849297,56
19,6,0,NN+2opt,0.00026795698795467615,1.908463713665149,28
20,10,0,NearestNeighbor,0.00019209191668778658,2.1919092213038294,55
20,10,0,CheapestInsertion,0.00037202402018010616,2.2248962200315026,220
20,10,0,NN+2opt,0.0005920159164816141,2.1919092213038294,46
21,7,0,NearestNeighbor,0.00010354502592235804,2.3086256803578853,28
21,7,0,CheapestInsertion,0.00017661205492913723,2.2868830026413263,84
21,7,0,NN+2opt,0.0003657960332930088,2.2073428847060215,34
22,42,0,NearestNeighbor,0.002689564018510282,0.6732546714447214,903
22,42,0,CheapestInsertion,0.01307448698207736,0.6495626477727782,13244
22,42,0,NN+2opt,0.017337235040031374,0.6495626464756479,867
23,4,0,NearestNeighbor,5.1573035307228565e-05,2.01067302300028,10
23,4,0,CheapestInsertion,6.841402500867844e-05,2.01067302300028,20
23,4,0,NN+2opt,0.00011354009620845318,2.01067302300028,7
24,4,0,NearestNeighbor,4.412501584738493e-05,1.3993748985047247,10
24,4,0,CheapestInsertion,6.343494169414043e-05,1.3508272334785483,20
24,4,0,NN+2opt,0.0001247470499947667,1.3508272334785483,12
25,6,0,NearestNeighbor,8.052389603108168e-05,2.14963730615957,21
25,6,0,CheapestInsertion,0.00012993498239666224,1.9814865705339093,56
25,6,0,NN+2opt,0.00036288693081587553,1.9406169918137253,55
26,10,0,NearestNeighbor,0.00018602597992867231,2.3849297200719657,55
26,10,0,CheapestInsertion,0.0003665130352601409,2.2182009809280214,220
26,10,0,NN+2opt,0.0007822390180081129,2.218200980928021,87
27,5,0,NearestNeighbor,6.276194471865892e-05,2.0010321657997983,15
27,5,0,CheapestInsertion,0.0001007959945127368,1.9000621512377234,35
27,5,0,NN+2opt,0.00020130292978137732,1.9000621512377234,23
28,10,0,NearestNeighbor,0.00018672097939997911,2.2001155997760065,55
28,10,0,CheapestInsertion,0.0003652289742603898,2.025980418950708,220
28,10,0,NN+2opt,0.001245943014509976,2.025980418950708,183
29,20,0,NearestNeighbor,0.0006609871052205563,2.536710985030414,210
29,20,0,CheapestInsertion,0.0018953010439872742,2.5624115866453128,1540
29,20,0,NN+2opt,0.005995298968628049,2.4908832129936185,614
30,12,0,NearestNeighbor,0.00026102992706000805,2.132897533580357,78
30,12,0,CheapestInsertion,0.0005570549983531237,2.0631711426318935,364
30,12,0,NN+2opt,0.002022334956564009,1.940785341729279,281
