task_id,method,seed,length_km,runtime_s,evaluations,valid,selected_method,order,metadata
1,CheapestInsertion,0,1.8864177600606795,0.0008380820509046316,286,True,,"[4, 3, 2, 5, 6, 7, 9, 10, 8, 1, 0]",{}
1,HeldKarpCheck,0,1.7739991125114165,0.040229336940683424,56331,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",{}
1,NN+2opt,0,1.7739991125114165,0.0011809160932898521,109,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]",{}
1,NearestNeighbor,0,1.7851835857089084,0.0007791370153427124,66,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 9, 6, 7]",{}
1,ReferenceExact,20260820,1.7739991125114167,0.018054645974189043,0,True,,"[7, 9, 6, 10, 8, 4, 3, 5, 2, 1, 0]","{""certified"": true, ""concorde_nodes"": 12, ""home_duplicate_padding"": 0, ""integer_objective"": 1773999, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task01/task01.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 12, ""problem_sha256"": ""8622f9bc6622caee93f2d52d3f1244654b29d4c7dd32365674d6404e374c55fd"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 6e-06, ""solution_sha256"": ""121ef22c2dfd08f1195febe43aea45d8ed78a2e3190e8088dddd6486af1ac49a"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
2,CheapestInsertion,0,2.279975082456949,0.0008396909106522799,286,True,,"[5, 3, 6, 9, 8, 10, 7, 4, 2, 1, 0]",{}
2,HeldKarpCheck,0,2.279975082456949,0.0376513839000836,56331,True,,"[5, 3, 6, 9, 8, 10, 7, 4, 2, 1, 0]",{}
2,NN+2opt,0,2.279975082456949,0.0016294060042127967,158,True,,"[0, 1, 2, 4, 7, 10, 8, 9, 6, 3, 5]",{}
2,NearestNeighbor,0,2.5940198825611454,0.0007537569617852569,66,True,,"[0, 5, 3, 6, 4, 7, 8, 10, 9, 1, 2]",{}
2,ReferenceExact,20260820,2.279975082456949,0.015348784974776208,0,True,,"[5, 3, 6, 9, 8, 10, 7, 4, 2, 1, 0]","{""certified"": true, ""concorde_nodes"": 12, ""home_duplicate_padding"": 0, ""integer_objective"": 2279975, ""integer_scale_per_km"": 1000000, ""log"": ""exact_logs/task02/task02.concorde.log"", ""nonzero_returncode_with_certificate"": true, ""original_nodes"": 12, ""problem_sha256"": ""5e2c67a7c8979591e0d01d5fccb2fb4158efc65cf2fa9c0cb656bc416010c067"", ""process_returncode"": 255, ""rounding_bound_km_per_tour"": 6e-06, ""solution_sha256"": ""5a29c4e27f2898742426b72cf2d511bd626f125568521a8b45109401c8a5e1a0"", ""solver"": ""Concorde 03.12.19 with QSopt""}"
