task_id,method,seed,length_km,runtime_s,evaluations,valid,selected_method,order,metadata
1,ILS,0,1.7739991125114165,0.41320751304738224,41501,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1663, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 41249, ""completed_local_search_passes"": 1914, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 41501, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,1,1.7739991125114165,0.6174893109127879,51796,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1794, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 51544, ""completed_local_search_passes"": 2045, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 51796, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,2,1.7739991125114165,0.30809013603720814,49853,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1703, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 49601, ""completed_local_search_passes"": 1954, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 49853, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,3,1.7739991125114165,0.2924498049542308,39874,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1763, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 39622, ""completed_local_search_passes"": 2014, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 39874, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,4,1.7739991125114165,0.24491517490241677,38064,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1589, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 37812, ""completed_local_search_passes"": 1840, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 38064, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,5,1.7739991125114165,0.37946359592024237,56502,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1743, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 56250, ""completed_local_search_passes"": 1994, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 56502, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,6,1.7739991125114165,0.2917752410285175,41558,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1695, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 41306, ""completed_local_search_passes"": 1946, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 41558, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,7,1.7739991125114165,0.32657621102407575,41100,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1787, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 40848, ""completed_local_search_passes"": 2038, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 41100, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,8,1.7739991125114165,0.23733990802429616,39359,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1825, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 39107, ""completed_local_search_passes"": 2076, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 39359, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
1,ILS,9,1.7739991125114165,0.3224007710814476,41843,True,,"[0, 1, 2, 5, 3, 4, 8, 10, 6, 9, 7]","{""acceptance"": ""accept every perturbed local optimum; return best-so-far"", ""accepted_ils_states"": 250, ""accepted_moves"": 1672, ""best_archive_updates"": 0, ""budget_rule"": ""250 perturbation/local-search cycles for every task and seed"", ""candidate_moves_evaluated"": 41591, ""completed_local_search_passes"": 1923, ""double_bridge_perturbations"": 250, ""final_common_evaluator_calls"": 1, ""full_route_objective_evaluations"": 41843, ""initial_solutions"": 1, ""initialization"": ""nearest neighbour followed by first-improvement 2-opt"", ""iterations_per_task_seed"": 250, ""perturbation"": ""double bridge for N>=8; deterministic swap fallback otherwise"", ""perturbations"": 250, ""small_instance_fallback_perturbations"": 0, ""tie_tolerance_km"": 1e-12}"
