task_id,num_targets,raw_length_km,raw_crossings
1,11,2.0787263410060044,4
2,11,3.4379145512158162,5
3,16,2.7037306147794564,0
4,12,2.394872326638416,2
5,12,2.560396528702805,2
6,11,2.361911911922856,0
7,8,1.9518586968257758,0
8,19,4.333774246683905,4
9,13,3.310032831312025,5
10,11,3.5475861051008586,2
11,11,2.9001661773245435,0
12,15,2.2142821208421277,6
13,11,2.623767278619098,4
14,5,1.2934519309581551,0
15,9,2.4352700700648398,1
16,17,2.436746087549985,0
17,7,2.6262496680195677,0
18,17,3.956017119039075,2
19,6,1.9609034837980999,0
20,10,2.3271501377921155,1
21,7,2.4993160201002165,1
22,42,0.665613609574188,1
23,4,2.01067302300028,0
24,4,1.5541362851202243,1
25,6,2.1765993600481863,0
26,10,3.5077765792448607,1
27,5,2.510933271472731,3
28,10,3.118478690210585,2
29,20,5.906719773987185,0
30,12,2.24965223122239,0
