config_id,factor,value,task_id,seed,alpha,beta,evaporation,evaluation_budget,length_km,runtime_s,evaluations
alpha_0.5,alpha,0.5,1,0,0.5,2.0,0.5,7500,1.7739991125114165,6.450517676072195,7500
alpha_0.5,alpha,0.5,1,1,0.5,2.0,0.5,7500,1.7739991125114165,6.1942188900429755,7500
alpha_0.5,alpha,0.5,1,2,0.5,2.0,0.5,7500,1.7739991125114165,6.377764567965642,7500
alpha_0.5,alpha,0.5,1,3,0.5,2.0,0.5,7500,1.7739991125114165,6.280095055932179,7500
alpha_0.5,alpha,0.5,1,4,0.5,2.0,0.5,7500,1.7739991125114165,6.246509701944888,7500
alpha_0.5,alpha,0.5,1,5,0.5,2.0,0.5,7500,1.7739991125114165,6.578362384927459,7500
alpha_0.5,alpha,0.5,1,6,0.5,2.0,0.5,7500,1.7739991125114165,6.395704044029117,7500
alpha_0.5,alpha,0.5,1,7,0.5,2.0,0.5,7500,1.7739991125114165,6.397069311002269,7500
alpha_0.5,alpha,0.5,1,8,0.5,2.0,0.5,7500,1.7739991125114165,6.210677097085863,7500
alpha_0.5,alpha,0.5,1,9,0.5,2.0,0.5,7500,1.7739991125114165,6.486652717925608,7500
alpha_0.5,alpha,0.5,1,10,0.5,2.0,0.5,7500,1.7739991125114165,7.000068729976192,7500
alpha_0.5,alpha,0.5,1,11,0.5,2.0,0.5,7500,1.7739991125114165,6.910373914055526,7500
alpha_0.5,alpha,0.5,1,12,0.5,2.0,0.5,7500,1.7739991125114165,6.302623325027525,7500
alpha_0.5,alpha,0.5,1,13,0.5,2.0,0.5,7500,1.7739991125114165,6.274126491975039,7500
alpha_0.5,alpha,0.5,1,14,0.5,2.0,0.5,7500,1.7739991125114165,6.665536961052567,7500
alpha_0.5,alpha,0.5,1,15,0.5,2.0,0.5,7500,1.7739991125114165,6.265434458036907,7500
alpha_0.5,alpha,0.5,1,16,0.5,2.0,0.5,7500,1.7739991125114165,6.254003982059658,7500
alpha_0.5,alpha,0.5,1,17,0.5,2.0,0.5,7500,1.7739991125114165,6.1290175339672714,7500
alpha_0.5,alpha,0.5,1,18,0.5,2.0,0.5,7500,1.7739991125114165,6.265780010027811,7500
alpha_0.5,alpha,0.5,1,19,0.5,2.0,0.5,7500,1.7739991125114165,6.435076708905399,7500
alpha_0.5,alpha,0.5,2,0,0.5,2.0,0.5,7500,2.279975082456949,6.1642032930394635,7500
alpha_0.5,alpha,0.5,2,1,0.5,2.0,0.5,7500,2.279975082456949,6.253654508967884,7500
alpha_0.5,alpha,0.5,2,2,0.5,2.0,0.5,7500,2.279975082456949,6.250485180993564,7500
alpha_0.5,alpha,0.5,2,3,0.5,2.0,0.5,7500,2.279975082456949,6.300834235036746,7500
alpha_0.5,alpha,0.5,2,4,0.5,2.0,0.5,7500,2.279975082456949,6.166650344966911,7500
alpha_0.5,alpha,0.5,2,5,0.5,2.0,0.5,7500,2.279975082456949,6.2986683449707925,7500
alpha_0.5,alpha,0.5,2,6,0.5,2.0,0.5,7500,2.279975082456949,6.435809321934357,7500
alpha_0.5,alpha,0.5,2,7,0.5,2.0,0.5,7500,2.279975082456949,6.171092228963971,7500
alpha_0.5,alpha,0.5,2,8,0.5,2.0,0.5,7500,2.279975082456949,6.2488325940212235,7500
alpha_0.5,alpha,0.5,2,9,0.5,2.0,0.5,7500,2.279975082456949,6.237542512011714,7500
alpha_0.5,alpha,0.5,2,10,0.5,2.0,0.5,7500,2.279975082456949,6.377486453973688,7500
alpha_0.5,alpha,0.5,2,11,0.5,2.0,0.5,7500,2.279975082456949,6.392310961033218,7500
alpha_0.5,alpha,0.5,2,12,0.5,2.0,0.5,7500,2.279975082456949,6.2148133859736845,7500
alpha_0.5,alpha,0.5,2,13,0.5,2.0,0.5,7500,2.279975082456949,6.427125794929452,7500
alpha_0.5,alpha,0.5,2,14,0.5,2.0,0.5,7500,2.279975082456949,6.657024748972617,7500
alpha_0.5,alpha,0.5,2,15,0.5,2.0,0.5,7500,2.279975082456949,6.477176176034845,7500
alpha_0.5,alpha,0.5,2,16,0.5,2.0,0.5,7500,2.279975082456949,6.3917057699291036,7500
alpha_0.5,alpha,0.5,2,17,0.5,2.0,0.5,7500,2.279975082456949,6.241542748990469,7500
alpha_0.5,alpha,0.5,2,18,0.5,2.0,0.5,7500,2.279975082456949,6.408698654035106,7500
alpha_0.5,alpha,0.5,2,19,0.5,2.0,0.5,7500,2.279975082456949,6.372436495963484,7500
alpha_0.5,alpha,0.5,3,0,0.5,2.0,0.5,7500,2.5554615909469742,8.951490395935252,7500
alpha_0.5,alpha,0.5,3,1,0.5,2.0,0.5,7500,2.5773142587776494,9.064605243969709,7500
alpha_0.5,alpha,0.5,3,2,0.5,2.0,0.5,7500,2.5554615909469742,9.190255515044555,7500
alpha_0.5,alpha,0.5,3,3,0.5,2.0,0.5,7500,2.5554615909469742,9.061953413998708,7500
alpha_0.5,alpha,0.5,3,4,0.5,2.0,0.5,7500,2.5554615909469742,9.079221296939068,7500
alpha_0.5,alpha,0.5,3,5,0.5,2.0,0.5,7500,2.5554615909469742,9.146106297965162,7500
alpha_0.5,alpha,0.5,3,6,0.5,2.0,0.5,7500,2.5554615909469742,9.656167843029834,7500
alpha_0.5,alpha,0.5,3,7,0.5,2.0,0.5,7500,2.5773142587776494,9.672108232975006,7500
alpha_0.5,alpha,0.5,3,8,0.5,2.0,0.5,7500,2.579880460302812,9.190312003018335,7500
alpha_0.5,alpha,0.5,3,9,0.5,2.0,0.5,7500,2.5554615909469742,9.020976726082154,7500
alpha_0.5,alpha,0.5,3,10,0.5,2.0,0.5,7500,2.5554615909469742,9.311167472973466,7500
alpha_0.5,alpha,0.5,3,11,0.5,2.0,0.5,7500,2.5664198809726244,9.266144062043168,7500
alpha_0.5,alpha,0.5,3,12,0.5,2.0,0.5,7500,2.5554615909469742,9.282612631912343,7500
alpha_0.5,alpha,0.5,3,13,0.5,2.0,0.5,7500,2.5554615909469742,9.444159748964012,7500
alpha_0.5,alpha,0.5,3,14,0.5,2.0,0.5,7500,2.5554615909469742,9.044541405979544,7500
alpha_0.5,alpha,0.5,3,15,0.5,2.0,0.5,7500,2.5554615909469742,9.244353182031773,7500
alpha_0.5,alpha,0.5,3,16,0.5,2.0,0.5,7500,2.5554615909469742,9.311512864078395,7500
alpha_0.5,alpha,0.5,3,17,0.5,2.0,0.5,7500,2.5554615909469742,9.94733402307611,7500
alpha_0.5,alpha,0.5,3,18,0.5,2.0,0.5,7500,2.5554615909469742,9.323602878954262,7500
alpha_0.5,alpha,0.5,3,19,0.5,2.0,0.5,7500,2.5554615909469742,9.232254809932783,7500
alpha_0.5,alpha,0.5,4,0,0.5,2.0,0.5,7500,2.1335996845890683,6.722431074944325,7500
alpha_0.5,alpha,0.5,4,1,0.5,2.0,0.5,7500,2.1335996845890683,6.830093394964933,7500
alpha_0.5,alpha,0.5,4,2,0.5,2.0,0.5,7500,2.1335996845890683,6.690644284011796,7500
alpha_0.5,alpha,0.5,4,3,0.5,2.0,0.5,7500,2.1335996845890683,6.779207256971858,7500
alpha_0.5,alpha,0.5,4,4,0.5,2.0,0.5,7500,2.1335996845890683,6.89726736699231,7500
alpha_0.5,alpha,0.5,4,5,0.5,2.0,0.5,7500,2.1335996845890683,6.890272042015567,7500
alpha_0.5,alpha,0.5,4,6,0.5,2.0,0.5,7500,2.1335996845890683,6.911119099007919,7500
alpha_0.5,alpha,0.5,4,7,0.5,2.0,0.5,7500,2.1335996845890683,6.832688147900626,7500
alpha_0.5,alpha,0.5,4,8,0.5,2.0,0.5,7500,2.1335996845890683,6.8377444189973176,7500
alpha_0.5,alpha,0.5,4,9,0.5,2.0,0.5,7500,2.1335996845890683,7.069644040078856,7500
alpha_0.5,alpha,0.5,4,10,0.5,2.0,0.5,7500,2.1335996845890683,6.872229378088377,7500
alpha_0.5,alpha,0.5,4,11,0.5,2.0,0.5,7500,2.1335996845890683,7.030969238956459,7500
alpha_0.5,alpha,0.5,4,12,0.5,2.0,0.5,7500,2.1335996845890683,7.0027516999980435,7500
alpha_0.5,alpha,0.5,4,13,0.5,2.0,0.5,7500,2.1335996845890683,7.065467830980197,7500
alpha_0.5,alpha,0.5,4,14,0.5,2.0,0.5,7500,2.1335996845890683,6.852808895055205,7500
alpha_0.5,alpha,0.5,4,15,0.5,2.0,0.5,7500,2.1335996845890683,7.819418282946572,7500
alpha_0.5,alpha,0.5,4,16,0.5,2.0,0.5,7500,2.1335996845890683,8.211196432937868,7500
alpha_0.5,alpha,0.5,4,17,0.5,2.0,0.5,7500,2.1335996845890683,6.897532586939633,7500
alpha_0.5,alpha,0.5,4,18,0.5,2.0,0.5,7500,2.1335996845890683,7.032773558981717,7500
alpha_0.5,alpha,0.5,4,19,0.5,2.0,0.5,7500,2.1335996845890683,7.111224103951827,7500
alpha_0.5,alpha,0.5,5,0,0.5,2.0,0.5,7500,1.9095012742420303,6.81407088204287,7500
alpha_0.5,alpha,0.5,5,1,0.5,2.0,0.5,7500,1.865074221023855,6.816556998994201,7500
alpha_0.5,alpha,0.5,5,2,0.5,2.0,0.5,7500,1.9103679282974102,7.5730196660151705,7500
alpha_0.5,alpha,0.5,5,3,0.5,2.0,0.5,7500,1.91036792829741,6.780761696980335,7500
alpha_0.5,alpha,0.5,5,4,0.5,2.0,0.5,7500,1.8650742210238551,6.790267165983096,7500
alpha_0.5,alpha,0.5,5,5,0.5,2.0,0.5,7500,1.865074221023855,6.74987041996792,7500
alpha_0.5,alpha,0.5,5,6,0.5,2.0,0.5,7500,1.9095012742420299,6.999933220911771,7500
alpha_0.5,alpha,0.5,5,7,0.5,2.0,0.5,7500,1.8650742210238551,7.603711770963855,7500
alpha_0.5,alpha,0.5,5,8,0.5,2.0,0.5,7500,1.865074221023855,6.965637110057287,7500
alpha_0.5,alpha,0.5,5,9,0.5,2.0,0.5,7500,1.865074221023855,6.931600130046718,7500
alpha_0.5,alpha,0.5,5,10,0.5,2.0,0.5,7500,1.9151271816592492,6.94716876395978,7500
alpha_0.5,alpha,0.5,5,11,0.5,2.0,0.5,7500,1.9095012742420303,6.840459825005382,7500
alpha_0.5,alpha,0.5,5,12,0.5,2.0,0.5,7500,1.8650742210238551,7.114448558073491,7500
alpha_0.5,alpha,0.5,5,13,0.5,2.0,0.5,7500,1.9095012742420303,6.864154284005053,7500
alpha_0.5,alpha,0.5,5,14,0.5,2.0,0.5,7500,1.8650742210238551,7.267568422947079,7500
alpha_0.5,alpha,0.5,5,15,0.5,2.0,0.5,7500,1.865074221023855,6.81821551406756,7500
alpha_0.5,alpha,0.5,5,16,0.5,2.0,0.5,7500,1.865074221023855,7.011926237959415,7500
alpha_0.5,alpha,0.5,5,17,0.5,2.0,0.5,7500,1.865074221023855,7.774147758958861,7500
alpha_0.5,alpha,0.5,5,18,0.5,2.0,0.5,7500,1.8650742210238551,6.98556322499644,7500
alpha_0.5,alpha,0.5,5,19,0.5,2.0,0.5,7500,1.865074221023855,7.0986043909797445,7500
alpha_0.5,alpha,0.5,6,0,0.5,2.0,0.5,7500,1.756456461232624,6.223531478084624,7500
alpha_0.5,alpha,0.5,6,1,0.5,2.0,0.5,7500,1.756456461232624,6.178771898965351,7500
alpha_0.5,alpha,0.5,6,2,0.5,2.0,0.5,7500,1.756456461232624,6.3913224580464885,7500
alpha_0.5,alpha,0.5,6,3,0.5,2.0,0.5,7500,1.756456461232624,6.307817409047857,7500
alpha_0.5,alpha,0.5,6,4,0.5,2.0,0.5,7500,1.756456461232624,6.179029163904488,7500
alpha_0.5,alpha,0.5,6,5,0.5,2.0,0.5,7500,1.756456461232624,6.331281128921546,7500
alpha_0.5,alpha,0.5,6,6,0.5,2.0,0.5,7500,1.756456461232624,6.379906143993139,7500
alpha_0.5,alpha,0.5,6,7,0.5,2.0,0.5,7500,1.756456461232624,6.315181374084204,7500
alpha_0.5,alpha,0.5,6,8,0.5,2.0,0.5,7500,1.756456461232624,6.259753637947142,7500
alpha_0.5,alpha,0.5,6,9,0.5,2.0,0.5,7500,1.756456461232624,6.2208778510103,7500
alpha_0.5,alpha,0.5,6,10,0.5,2.0,0.5,7500,1.756456461232624,6.5516771010588855,7500
alpha_0.5,alpha,0.5,6,11,0.5,2.0,0.5,7500,1.756456461232624,6.288054091972299,7500
alpha_0.5,alpha,0.5,6,12,0.5,2.0,0.5,7500,1.756456461232624,6.3187363729812205,7500
alpha_0.5,alpha,0.5,6,13,0.5,2.0,0.5,7500,1.756456461232624,6.522539208992384,7500
alpha_0.5,alpha,0.5,6,14,0.5,2.0,0.5,7500,1.756456461232624,6.825499971979298,7500
alpha_0.5,alpha,0.5,6,15,0.5,2.0,0.5,7500,1.756456461232624,6.428975689923391,7500
alpha_0.5,alpha,0.5,6,16,0.5,2.0,0.5,7500,1.756456461232624,6.464127997052856,7500
alpha_0.5,alpha,0.5,6,17,0.5,2.0,0.5,7500,1.756456461232624,6.545603512902744,7500
alpha_0.5,alpha,0.5,6,18,0.5,2.0,0.5,7500,1.756456461232624,6.4753976900829,7500
alpha_0.5,alpha,0.5,6,19,0.5,2.0,0.5,7500,1.756456461232624,6.426184949930757,7500
alpha_0.5,alpha,0.5,7,0,0.5,2.0,0.5,7500,1.8418822070973002,4.464701686985791,7500
alpha_0.5,alpha,0.5,7,1,0.5,2.0,0.5,7500,1.8418822070973002,4.381758045987226,7500
alpha_0.5,alpha,0.5,7,2,0.5,2.0,0.5,7500,1.8418822070973002,4.419557993998751,7500
alpha_0.5,alpha,0.5,7,3,0.5,2.0,0.5,7500,1.8418822070973002,4.507288446067832,7500
alpha_0.5,alpha,0.5,7,4,0.5,2.0,0.5,7500,1.8418822070973002,4.4923377729719505,7500
alpha_0.5,alpha,0.5,7,5,0.5,2.0,0.5,7500,1.8418822070973002,4.529650547890924,7500
alpha_0.5,alpha,0.5,7,6,0.5,2.0,0.5,7500,1.8418822070973002,4.383855941938236,7500
alpha_0.5,alpha,0.5,7,7,0.5,2.0,0.5,7500,1.8418822070973002,4.440440877922811,7500
alpha_0.5,alpha,0.5,7,8,0.5,2.0,0.5,7500,1.8418822070973002,4.420399780967273,7500
alpha_0.5,alpha,0.5,7,9,0.5,2.0,0.5,7500,1.8418822070973002,4.49091028701514,7500
alpha_0.5,alpha,0.5,7,10,0.5,2.0,0.5,7500,1.8418822070973002,4.448448850074783,7500
alpha_0.5,alpha,0.5,7,11,0.5,2.0,0.5,7500,1.8418822070973002,4.382628299063072,7500
alpha_0.5,alpha,0.5,7,12,0.5,2.0,0.5,7500,1.8418822070973002,4.460580301005393,7500
alpha_0.5,alpha,0.5,7,13,0.5,2.0,0.5,7500,1.8418822070973002,4.593200835981406,7500
alpha_0.5,alpha,0.5,7,14,0.5,2.0,0.5,7500,1.8418822070973002,4.903312963084318,7500
alpha_0.5,alpha,0.5,7,15,0.5,2.0,0.5,7500,1.8418822070973002,4.973603725084104,7500
alpha_0.5,alpha,0.5,7,16,0.5,2.0,0.5,7500,1.8418822070973002,4.484667704906315,7500
alpha_0.5,alpha,0.5,7,17,0.5,2.0,0.5,7500,1.8418822070973002,4.59302019898314,7500
alpha_0.5,alpha,0.5,7,18,0.5,2.0,0.5,7500,1.8418822070973002,4.568828794988804,7500
alpha_0.5,alpha,0.5,7,19,0.5,2.0,0.5,7500,1.8418822070973002,4.598283361992799,7500
alpha_0.5,alpha,0.5,8,0,0.5,2.0,0.5,7500,2.435258572417939,10.700983093935065,7500
alpha_0.5,alpha,0.5,8,1,0.5,2.0,0.5,7500,2.476530843043769,12.293532697018236,7500
alpha_0.5,alpha,0.5,8,2,0.5,2.0,0.5,7500,2.445032142859417,10.788008242030628,7500
alpha_0.5,alpha,0.5,8,3,0.5,2.0,0.5,7500,2.445032142859417,11.223514987970702,7500
alpha_0.5,alpha,0.5,8,4,0.5,2.0,0.5,7500,2.479402661785345,10.614335665013641,7500
alpha_0.5,alpha,0.5,8,5,0.5,2.0,0.5,7500,2.50179530649089,11.062593206064776,7500
alpha_0.5,alpha,0.5,8,6,0.5,2.0,0.5,7500,2.4314289960780373,10.702361920033582,7500
alpha_0.5,alpha,0.5,8,7,0.5,2.0,0.5,7500,2.4488617191993187,10.653240924002603,7500
alpha_0.5,alpha,0.5,8,8,0.5,2.0,0.5,7500,2.4314289960780373,10.669057657942176,7500
alpha_0.5,alpha,0.5,8,9,0.5,2.0,0.5,7500,2.4314289960780373,10.825559217017144,7500
alpha_0.5,alpha,0.5,8,10,0.5,2.0,0.5,7500,2.4488617191993183,11.060749104944989,7500
alpha_0.5,alpha,0.5,8,11,0.5,2.0,0.5,7500,2.4662082011160247,10.574603369925171,7500
