config_id,factor,value,task_id,mean_length_km,sd_length_km,mean_runtime_s,reference_km,gap_pct
alpha_0.5,alpha,0.5,1,1.7739991125114165,0.0,6.405980678100605,1.7739991125114167,0.0
alpha_0.5,alpha,0.5,2,2.279975082456949,0.0,6.324404687737115,2.279975082456949,0.0
alpha_0.5,alpha,0.5,3,2.5594157156991164,0.008456518608148675,9.272044002445181,2.5554615909469742,0.15473231005115246
alpha_0.5,alpha,0.5,4,2.1335996845890683,0.0,7.01787415673607,2.1335996845890683,0.0
alpha_0.5,alpha,0.5,5,1.880991650426615,0.022285350109194885,7.037384302145801,1.865074221023855,0.8534475048409673
alpha_0.5,alpha,0.5,6,1.7564564612326241,0.0,6.381713456544094,1.756456461232624,1.2641623053338177e-14
alpha_0.5,alpha,0.5,7,1.8418822070973,0.0,4.526873820845504,1.8418822070973,0.0
alpha_0.5,alpha,0.5,8,2.448707227520197,0.02009214048702021,10.997468917444348,2.4314289960780373,0.7106204404911702
alpha_0.5,alpha,0.5,9,2.4122006554120246,0.0,7.429515164432814,2.412200655412025,0.0
alpha_0.5,alpha,0.5,10,2.2921008167129555,0.012986927001251926,6.316538724990096,2.284792664659961,0.31986062306806223
alpha_0.5,alpha,0.5,11,2.68952820297882,0.0027924398806141687,6.311206376401242,2.6881673361169907,0.05062433590146977
alpha_0.5,alpha,0.5,12,1.4292356120053853,0.006225946612937172,8.516925414954311,1.4260236853528467,0.22523655711537602
alpha_0.5,alpha,0.5,13,2.026911186852802,0.0,6.271820102521451,2.026911186852802,0.0
alpha_0.5,alpha,0.5,14,1.067134550587395,0.0,2.8034954730595927,1.067134550587395,0.0
alpha_0.5,alpha,0.5,15,2.112602871122433,0.0,5.177615472814068,2.112602871122433,0.0
alpha_0.5,alpha,0.5,16,2.1629154503787076,0.004256804694841772,9.66951902123401,2.159640501700675,0.15164323300354102
alpha_0.5,alpha,0.5,17,2.0100547196305705,0.0,3.9222458144067787,2.0100547196305705,0.0
alpha_0.5,alpha,0.5,18,2.7101451135056185,0.006808176491646507,9.756957873399369,2.7052757751641314,0.17999415757129733
alpha_0.5,alpha,0.5,19,1.908463713665149,0.0,3.342648296430707,1.908463713665149,0.0
alpha_0.5,alpha,0.5,20,2.1697468439523346,0.0,5.802091033593752,2.169746843952334,2.0467328300896403e-14
alpha_0.5,alpha,0.5,21,2.207342884706021,0.0,4.015893517161021,2.207342884706021,0.0
alpha_0.5,alpha,0.5,22,0.6495626466702175,4.752005044364324e-10,24.27636306096101,0.6495626464756483,2.995386813484349e-08
alpha_0.5,alpha,0.5,23,2.01067302300028,0.0,2.2561386237852274,2.01067302300028,0.0
alpha_0.5,alpha,0.5,24,1.3508272334785483,0.0,2.267722401948413,1.3508272334785485,0.0
alpha_0.5,alpha,0.5,25,1.9406169918137253,0.0,3.33690952231409,1.9406169918137255,0.0
alpha_0.5,alpha,0.5,26,2.218200980928021,0.0,5.725466764834709,2.218200980928021,0.0
alpha_0.5,alpha,0.5,27,1.9000621512377234,0.0,2.8513625782739838,1.9000621512377236,0.0
alpha_0.5,alpha,0.5,28,2.025980418950708,0.0,5.698779597843531,2.025980418950708,0.0
alpha_0.5,alpha,0.5,29,2.5236748146567343,0.017242835658295926,11.474797785677946,2.4908832129936185,1.3164648383376374
alpha_0.5,alpha,0.5,30,1.9298467885369193,1.2477829590662821e-16,6.886238705337746,1.9298467885369197,0.0
alpha_2.0,alpha,2.0,1,1.7767952308107895,0.00496883261014572,6.435615363216494,1.7739991125114167,0.15761666844434616
alpha_2.0,alpha,2.0,2,2.303151361270905,0.023153720178021808,6.370055238349596,2.279975082456949,1.0165145659829116
alpha_2.0,alpha,2.0,3,2.5927109141594413,0.024537769744773657,9.164806825405686,2.5554615909469742,1.457635808122777
alpha_2.0,alpha,2.0,4,2.147069809394501,0.017974747676674042,6.838656429137336,2.1335996845890683,0.6313332769369467
alpha_2.0,alpha,2.0,5,1.9357110094869494,0.045631999567259295,6.84542393690208,1.865074221023855,3.7873446357709883
alpha_2.0,alpha,2.0,6,1.7564564612326241,0.0,6.259410112694605,1.756456461232624,1.2641623053338177e-14
alpha_2.0,alpha,2.0,7,1.8438297719861048,0.005354279921126354,4.447495838388567,1.8418822070973,0.10573775463491851
alpha_2.0,alpha,2.0,8,2.5267234591770595,0.0899033533291047,10.889492284203879,2.4314289960780373,3.9192780563501897
alpha_2.0,alpha,2.0,9,2.42382768970489,0.021298997224830543,7.509500474837841,2.412200655412025,0.4820094160400112
alpha_2.0,alpha,2.0,10,2.3199336401871373,0.00725276222192162,6.281307788705453,2.284792664659961,1.538037830334442
alpha_2.0,alpha,2.0,11,2.8552405784086803,0.051510052812678404,6.255047357449075,2.6881673361169907,6.2151354957323415
alpha_2.0,alpha,2.0,12,1.4549656850521968,0.029500858691635396,8.522775011212797,1.4260236853528467,2.029559536536649
alpha_2.0,alpha,2.0,13,2.0777643573382787,0.011146235297397923,6.368499978689942,2.026911186852802,2.508899788768591
alpha_2.0,alpha,2.0,14,1.067134550587395,0.0,2.858099630253855,1.067134550587395,0.0
alpha_2.0,alpha,2.0,15,2.120349819941507,0.009895428295276119,5.216813676647144,2.112602871122433,0.36670161368085363
alpha_2.0,alpha,2.0,16,2.1673308895981,0.008897469022547599,9.723299988603685,2.159640501700675,0.3560957433132511
alpha_2.0,alpha,2.0,17,2.0100547196305705,0.0,3.992802122689318,2.0100547196305705,0.0
alpha_2.0,alpha,2.0,18,2.7394446584560344,0.023620654250889845,9.807037754752674,2.7052757751641314,1.263046215309782
alpha_2.0,alpha,2.0,19,1.9102479172299731,0.00797920091328777,3.3534547530405687,1.908463713665149,0.09348899599445908
alpha_2.0,alpha,2.0,20,2.1713777659679945,0.0044764536157952195,5.715068507485557,2.169746843952334,0.0751664656273658
alpha_2.0,alpha,2.0,21,2.2311967250629374,0.022359762074570952,3.9833255510020535,2.207342884706021,1.080658583774732
alpha_2.0,alpha,2.0,22,0.6495626464756479,0.0,24.353902711503906,0.6495626464756483,0.0
alpha_2.0,alpha,2.0,23,2.01067302300028,0.0,2.2667017645726446,2.01067302300028,0.0
alpha_2.0,alpha,2.0,24,1.3508272334785483,0.0,2.313819006999256,1.3508272334785485,0.0
alpha_2.0,alpha,2.0,25,1.9406169918137253,0.0,3.358969879610231,1.9406169918137255,0.0
alpha_2.0,alpha,2.0,26,2.223535954162621,0.011192774979786855,5.696992063365178,2.218200980928021,0.24050901070145578
alpha_2.0,alpha,2.0,27,1.9029333804259405,0.008837456972957219,2.875455845944816,1.9000621512377236,0.15111238263161883
alpha_2.0,alpha,2.0,28,2.0456827375992352,0.022805713920027497,5.690161593898665,2.025980418950708,0.9724831723068388
alpha_2.0,alpha,2.0,29,2.5273488527393573,0.0201019323872206,11.469124033011031,2.4908832129936185,1.4639642499301802
alpha_2.0,alpha,2.0,30,1.9709842091269554,0.031105801969391268,6.917032213381026,1.9298467885369197,2.131641788062528
base,base,0.0,1,1.7739991125114165,0.0,4.602486063254764,1.7739991125114167,0.0
base,base,0.0,2,2.279975082456949,0.0,4.507020864402875,2.279975082456949,0.0
base,base,0.0,3,2.558194772231324,0.0069802605299722435,6.534648006688803,2.5554615909469742,0.10695450458079547
base,base,0.0,4,2.133617783782454,2.2742753660146406e-05,4.972943392180605,2.1335996845890683,0.0008482937786563708
base,base,0.0,5,1.8650742210238547,0.0,4.919241339556175,1.865074221023855,0.0
base,base,0.0,6,1.7564564612326241,0.0,4.669815426704008,1.756456461232624,1.2641623053338177e-14
base,base,0.0,7,1.8418822070973,0.0,3.2232254551025106,1.8418822070973,0.0
base,base,0.0,8,2.4316204748950323,0.0008563193021044171,7.696291332051624,2.4314289960780373,0.007875155610295633
base,base,0.0,9,2.412200655412025,0.0,5.257877861848101,2.412200655412025,0.0
base,base,0.0,10,2.296485707944752,0.014693030638976114,4.694779807009036,2.284792664659961,0.5117769969088762
base,base,0.0,11,2.7604194946378646,0.05973081986191583,4.488926876400365,2.6881673361169907,2.6877850031925807
base,base,0.0,12,1.4359045737005327,0.013201787516057153,6.037881218083203,1.4260236853528467,0.6928979125084518
base,base,0.0,13,2.0381398626982334,0.01759766859251777,4.5020640398666725,2.026911186852802,0.5539796671045303
base,base,0.0,14,1.067134550587395,0.0,2.0136967250378803,1.067134550587395,0.0
base,base,0.0,15,2.112602871122433,0.0,3.678555562440306,2.112602871122433,0.0
base,base,0.0,16,2.1608136308037635,0.0018397048335986716,6.934628327266546,2.159640501700675,0.05432057336232296
base,base,0.0,17,2.0100547196305705,0.0,2.9126322803029323,2.0100547196305705,0.0
base,base,0.0,18,2.7052757751641314,0.0,6.96076875225408,2.7052757751641314,0.0
base,base,0.0,19,1.908463713665149,0.0,2.4231393510010095,1.908463713665149,0.0
base,base,0.0,20,2.169746843952334,0.0,4.231158799445256,2.169746843952334,0.0
base,base,0.0,21,2.207342884706021,0.0,2.8796223859593737,2.207342884706021,0.0
base,base,0.0,22,0.6495626464756479,0.0,17.723822566459422,0.6495626464756483,0.0
base,base,0.0,23,2.01067302300028,0.0,1.696639576042071,2.01067302300028,0.0
base,base,0.0,24,1.3508272334785485,0.0,1.7161050888011231,1.3508272334785485,0.0
base,base,0.0,25,1.9406169918137253,0.0,2.4685035396134483,1.9406169918137255,0.0
base,base,0.0,26,2.218200980928021,0.0,4.265427757182624,2.218200980928021,0.0
base,base,0.0,27,1.9000621512377236,0.0,2.06939354109345,1.9000621512377236,0.0
base,base,0.0,28,2.0270714852590017,0.004865966982990335,4.165085473289946,2.025980418950708,0.053853743999104434
base,base,0.0,29,2.5036536761892187,0.011751032716057775,8.339080619154265,2.4908832129936185,0.5126881553090696
base,base,0.0,30,1.9345015585953849,0.005639098081991588,5.109245397953782,1.9298467885369197,0.24119894315517587
beta_1.0,beta,1.0,1,1.7739991125114165,0.0,6.287297986907651,1.7739991125114167,0.0
beta_1.0,beta,1.0,2,2.279975082456949,0.0,6.331385273084743,2.279975082456949,0.0
beta_1.0,beta,1.0,3,2.558372894797908,0.008960804182200506,9.04839187421021,2.5554615909469742,0.11392477434399696
beta_1.0,beta,1.0,4,2.1336019469882417,1.0117756687260488e-05,6.792666004830972,2.1335996845890683,0.00010603672233724987
beta_1.0,beta,1.0,5,1.8650742210238547,5.094052599087501e-17,6.862603952659993,1.865074221023855,0.0
beta_1.0,beta,1.0,6,1.7564564612326241,0.0,6.241168576915515,1.756456461232624,1.2641623053338177e-14
beta_1.0,beta,1.0,7,1.8418822070973,0.0,4.428802399360575,1.8418822070973,0.0
beta_1.0,beta,1.0,8,2.432492111051096,0.0031769949664753154,10.916138393554139,2.4314289960780373,0.04372387492185548
beta_1.0,beta,1.0,9,2.4122006554120246,0.0,7.401540881226538,2.412200655412025,0.0
beta_1.0,beta,1.0,10,2.2862542950705604,0.006536609912159972,6.424794720608043,2.284792664659961,0.06397212461364354
beta_1.0,beta,1.0,11,2.6923711474648355,0.0068655231709440125,6.303359693329549,2.6881673361169907,0.15638205595925422
beta_1.0,beta,1.0,12,1.4276311623034812,0.004224007837476916,8.674645545822568,1.4260236853528467,0.11272442156083208
beta_1.0,beta,1.0,13,2.026911186852802,0.0,6.319741653243545,2.026911186852802,0.0
beta_1.0,beta,1.0,14,1.067134550587395,0.0,2.8405513902544044,1.067134550587395,0.0
